"word","cdv.txt","cdv.txt.zip","groen.txt","groen.txt.zip","nva.txt","nva.txt.zip","openvld.txt","openvld.txt.zip","pvda.txt","pvda.txt.zip","spa.txt","spa.txt.zip","vlaamsbelang.txt","vlaamsbelang.txt.zip"
"bepaalde",3,0,66,0,22,0,11,0,15,0,35,0,4,0
"groot",12,0,60,0,10,0,5,0,23,0,46,0,5,0
"publieke",2,0,55,0,16,0,4,0,36,0,43,0,1,0
"problemen",6,0,60,0,9,0,3,0,34,0,39,0,7,0
"hoge",11,0,71,0,15,0,5,0,11,0,20,0,2,0
"innovatie",29,0,48,0,15,0,7,0,4,0,55,0,5,0
"meest",15,0,62,0,18,0,2,0,14,0,41,0,4,0
"organisaties",4,0,61,0,18,0,2,0,8,0,41,0,0,0
"zeker",12,0,64,0,18,0,6,0,5,0,37,0,3,0
"vragen",2,0,65,0,17,0,6,0,15,0,33,0,1,0
"noodzakelijk",8,0,58,0,11,0,4,0,9,0,47,0,3,0
"stelt",5,0,69,0,8,0,2,0,16,0,20,0,3,0
"bouwsteen",69,0,3,0,0,0,0,0,0,0,0,0,0,0
"sectoren",18,0,64,0,19,0,11,0,14,0,35,0,5,0
"geeft",9,0,60,0,17,0,11,0,18,0,41,0,0,0
"verhogen",12,0,54,0,24,0,7,0,15,0,48,0,3,0
"programma",1,0,42,0,2,0,59,0,9,0,6,0,4,0
"investeringen",29,0,60,0,23,0,14,0,20,0,31,0,0,0
"aangepast",4,0,68,0,11,0,4,0,3,0,18,0,0,0
"nva",0,0,0,0,68,0,0,0,6,0,0,0,1,0
"opleiding",17,0,52,0,22,0,4,0,11,0,49,0,4,0
"hernieuwbare",11,0,67,0,6,0,9,0,7,0,23,0,1,0
"lijn",9,0,67,0,10,0,2,0,10,0,21,0,0,0
"woning",3,0,46,0,5,0,15,0,6,0,55,0,2,0
"private",5,0,57,0,24,0,21,0,28,0,34,0,1,0
"drie",11,0,54,0,13,0,3,0,47,0,21,0,9,0
"pleiten",3,0,62,0,0,0,5,0,15,0,33,0,4,0
"hoog",6,0,61,0,10,0,6,0,17,0,36,0,3,0
"geweld",0,0,50,0,5,0,1,0,14,0,49,0,1,0
"indien",2,0,64,0,11,0,2,0,7,0,28,0,3,0
"kennis",8,0,54,0,18,0,6,0,3,0,45,0,1,0
"parlement",2,0,64,0,21,0,1,0,12,0,23,0,5,0
"miljoen",17,0,27,0,11,0,2,0,64,0,9,0,3,0
"jobs",5,0,39,0,17,0,9,0,20,0,57,0,0,0
"vorm",4,0,53,0,14,0,5,0,14,0,46,0,1,0
"tweede",12,0,60,0,13,0,6,0,20,0,34,0,0,0
"erfgoed",0,0,65,0,15,0,0,0,0,0,13,0,3,0
"zoveel",7,0,60,0,22,0,7,0,18,0,32,0,4,0
"beperkt",6,0,63,0,16,0,7,0,18,0,26,0,4,0
"verplicht",2,0,60,0,8,0,3,0,29,0,23,0,1,0
"water",4,0,64,0,6,0,1,0,7,0,22,0,2,0
"discriminatie",1,0,44,0,4,0,5,0,27,0,49,0,1,0
"vinden",8,0,43,0,13,0,11,0,16,0,54,0,1,0
"specifieke",9,0,56,0,17,0,4,0,4,0,39,0,1,0
"biedt",13,0,54,0,14,0,5,0,6,0,43,0,3,0
"dienen",0,0,62,0,3,0,4,0,12,0,26,0,10,0
"lonen",5,0,14,0,4,0,2,0,64,0,15,0,0,0
"internationaal",8,0,58,0,18,0,7,0,3,0,34,0,2,0
"daarvoor",7,0,62,0,6,0,6,0,14,0,26,0,3,0
"besturen",18,0,56,0,17,0,7,0,6,0,36,0,0,0
"voorbeeld",3,0,62,0,18,0,5,0,9,0,20,0,1,0
"pvda",0,0,0,0,0,0,0,0,63,0,0,0,0,0
"toegankelijk",6,0,50,0,6,0,3,0,10,0,45,0,0,0
"centraal",4,0,54,0,17,0,4,0,4,0,38,0,1,0
"impact",13,0,53,0,14,0,3,0,6,0,40,0,0,0
"markt",6,0,31,0,13,0,4,0,42,0,46,0,0,0
"vermijden",15,0,52,0,18,0,2,0,8,0,40,0,2,0
"veiligheid",8,0,58,0,20,0,16,0,5,0,30,0,8,0
