"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"aangepast",22,68,11,4,3,18,0
"lokaal",24,54,6,5,2,33,2
"nieuw",25,42,16,1,8,31,3
"stap",23,51,8,6,10,26,2
"vrijheid",18,16,8,24,11,37,12
"werking",36,37,17,3,11,22,0
"buiten",27,51,5,2,7,33,0
"dezelfde",12,34,16,2,23,36,2
"dragen",20,41,16,6,10,30,2
"job",6,28,12,11,21,47,0
"leidt",15,39,8,4,20,36,3
"opvang",20,54,3,3,12,30,3
"volgende",26,45,12,10,5,27,0
"volledig",11,54,15,2,16,24,3
"loon",5,24,10,4,43,37,1
"lijn",13,67,10,2,10,21,0
"milieu",13,74,8,2,9,15,2
"partners",31,40,15,13,2,20,2
"voorbeeld",8,62,18,5,9,20,1
"hele",17,37,6,3,23,34,2
"vld",0,0,2,119,1,0,0
"houdt",18,54,9,4,11,22,3
"minstens",19,41,2,3,24,26,6
"netwerk",34,43,3,8,5,27,1
"versterkt",33,43,15,5,5,19,1
"werden",16,40,10,1,27,18,9
"economisch",15,32,13,5,16,34,5
"geld",4,32,8,2,49,15,10
"groepen",19,46,9,3,11,29,3
"minister",12,35,32,2,22,13,4
"buitenlandse",23,26,27,6,14,19,4
"gemeenschap",21,38,27,5,7,14,7
"verdere",24,38,22,6,4,22,3
"behouden",27,24,20,10,6,25,6
"bijkomende",17,50,21,6,10,13,1
"derde",11,44,8,1,24,26,4
"gericht",22,35,6,8,5,41,1
"hiervoor",10,54,14,11,2,26,1
"lange",15,48,7,0,13,32,3
"nederlands",12,41,26,4,13,16,6
"plan",31,50,2,4,12,14,5
"welvaart",17,14,14,8,10,47,8
"erfgoed",21,65,15,0,0,13,3
"patiënt",0,53,9,6,14,33,2
"personeel",15,50,7,3,26,12,4
"structurele",12,57,10,2,10,25,1
"boven",9,35,10,4,28,27,3
"gelijke",16,34,18,3,14,30,1
"waardoor",19,39,10,6,6,35,1
"commissie",12,53,11,1,21,17,0
"lasten",20,28,17,12,9,27,1
"prijs",10,50,7,1,19,25,2
"trekken",9,33,21,5,13,28,5
"verenigingen",20,45,13,3,6,27,0
"voorwaarden",11,54,13,7,8,19,2
"zien",13,32,10,3,26,30,0
"gezonde",14,56,11,0,8,19,5
"individuele",23,37,14,6,11,22,0
"tegelijk",18,41,24,6,12,11,1
"vanaf",15,45,6,7,16,22,2
"vast",7,40,12,7,15,28,4
"mensenrechten",17,53,2,9,7,24,0
"regionale",21,58,6,7,5,15,0
"uitdagingen",38,22,4,5,2,39,2
"vele",12,53,7,3,3,28,6
"water",10,64,6,1,7,22,2
"doel",30,30,6,3,11,29,2
"halen",22,41,7,8,15,17,1
"organisatie",21,39,15,10,5,21,0
"slechts",13,32,15,4,21,22,4
